Player,Team,ContractSurplus,ExpectedLoss,VaR95,CVaR95,ProbNegative,ValueScore,ValuePerMillion
Stephen Curry,GSW,-31872356.931620188,-32512978.022283357,-55716584.17885902,-61673299.56867062,0.9869,39.72790697674418,0.6664993867520921
Joel Embiid,PHI,-23461781.145195074,-24101628.45505688,-43383256.68345615,-48496180.54451438,0.9687,44.46315789473684,0.805134260359914
Nikola Jokić,DEN,-8416213.439116374,-12715203.75195386,-27093795.33550361,-31559421.766662974,0.77,62.14923076923077,1.1253918371201732
Kevin Durant,HOU,-25344474.83853706,-26133348.257000625,-46402793.183669075,-51499186.57854019,0.9772,41.64358974358974,0.7611889701598836
Jayson Tatum,BOS,-22784298.654419534,-23645890.79013497,-41703055.52689472,-46752415.87961706,0.977,43.96875,0.8123338959048673
Anthony Davis,WAS,-22749207.219917364,-25041843.050002467,-48080537.012752056,-54437837.471041515,0.9303,44.010000000000005,0.8130960001995329
Giannis Antetokounmpo,MIL,-18400232.401211865,-20093756.50571139,-38947695.172114536,-44266529.439097516,0.932,49.12222222222223,0.9075456125835378
Jaylen Brown,BOS,-20714345.02990645,-21259783.628928114,-36643967.61747064,-40648698.59396501,0.9838,45.245070422535214,0.8513952364267962
Devin Booker,PHO,-25301280.77861239,-25451001.23816135,-42091408.48778391,-45945769.77705004,0.9953,39.853125,0.7499327653786071
Karl-Anthony Towns,NYK,-24747580.47724042,-25340633.286129314,-42674951.38186097,-47232625.46438436,0.9888,40.504,0.7621805499291486
LeBron James,LAL,-23487255.01363089,-24887135.788726874,-45652686.45231941,-50981378.95207992,0.9569,41.38,0.7862861211587867
Paul George,PHI,-29087169.40890468,-29921747.433217388,-52824169.482391395,-58778648.58609979,0.9753,33.66756756756756,0.651637613134022
Kawhi Leonard,LAC,-17144499.867182992,-19704137.65907379,-38619132.787591554,-44549769.0092645,0.9023,45.747692307692304,0.9149538461538461
Zach LaVine,SAC,-30634293.18569363,-30799691.284290742,-51180157.96499302,-56428799.99490911,0.9928,26.95128205128205,0.5673994729916393
Cade Cunningham,DET,-11117454.482965142,-14214735.246649433,-29081519.715620123,-33429799.39515988,0.8495,48.59375,1.0474122787164746
Evan Mobley,CLE,-18490991.033846915,-19083767.157251384,-34742944.849602,-38754298.79959386,0.972,39.926153846153845,0.8605868816542156
Jamal Murray,DEN,-15961135.821066424,-16887434.3162976,-31187766.062579423,-34922215.11677149,0.9503,42.9,0.924686544194197
Lauri Markkanen,UTA,-17429608.54915107,-18293648.100243315,-34467901.62245989,-39020519.724715866,0.951,41.17380952380953,0.8874794321650712
Donovan Mitchell,CLE,-14755570.348299555,-16054764.103800744,-30910299.692271076,-34756132.72347836,0.9376,44.317142857142855,0.9552323001662464
Trae Young,WAS,-24609933.81957879,-25107986.53741853,-43335631.390566856,-48174344.16422496,0.9845,32.73333333333333,0.7055494843812753
Luka Dončić,LAL,-2960363.8203659356,-8924511.070022644,-18959517.89964588,-23225412.07407725,0.6238,57.71875,1.2547647091304588
Anthony Edwards,MIN,-14231981.565373555,-16170031.37825591,-32203489.875060346,-36818254.630551144,0.9037,43.94098360655737,0.9646649769064587
