Team,TotalSurplus,AvgVaR95,AvgCVaR95,AvgProbNegative,PlayerCount
ATL,-7975843.272316329,-15708193.139396233,-19565713.092522454,0.5240117647058824,17
BOS,-14108991.513370177,-16288856.791298259,-20126990.879208557,0.5058285714285714,14
BRK,48729077.91481788,-12982028.793930989,-16811134.254818592,0.4164772727272727,22
CHI,-19302449.666281268,-16409918.589432478,-20212232.84678581,0.542425,16
CHO,-28731517.436731886,-16702966.566528622,-20598457.91414391,0.5607666666666666,18
CLE,-9931564.741435686,-15961803.062699871,-19743517.80626764,0.49965714285714286,14
DAL,25584596.54171976,-13547916.124268686,-17422525.82478694,0.425125,16
DEN,3259486.50601431,-14893727.375355469,-18732159.087942418,0.48376153846153847,13
DET,-17435026.824108526,-16250742.487810878,-20045812.343570314,0.55820625,16
GSW,25333445.1472208,-13138246.451218061,-16963837.6786088,0.36204166666666665,12
HOU,-9484157.094574533,-15942574.116519649,-19744434.978063785,0.5088384615384615,13
IND,33944584.33607789,-13555680.169989012,-17421225.34608711,0.42628571428571427,21
LAC,-46195737.19694804,-17846557.713870827,-21654630.24812469,0.5575470588235295,17
LAL,-74102280.33785935,-20073050.89206574,-23982865.96158733,0.6576933333333332,15
MEM,82147657.16263823,-10789968.781998144,-14670393.343103409,0.35378421052631576,19
MIA,28170658.077443935,-13138845.009490075,-16988203.857302364,0.43597142857142857,14
MIL,4571479.592681602,-14973482.320986938,-18868708.4460144,0.5129705882352941,17
MIN,-40331446.172170185,-18127739.895379897,-21991093.041974522,0.6013214285714286,14
NOP,9534764.229248146,-14539252.256082496,-18447180.44401196,0.46186875,16
NYK,-59904797.24835396,-19160475.963345017,-23007207.336205337,0.6062666666666666,15
OKC,11950842.90238262,-14403667.549125485,-18179046.28898805,0.4871666666666667,15
ORL,-33484550.87872077,-17784515.53743904,-21613655.039331444,0.5754230769230769,13
PHI,4679664.588883364,-14878528.414511183,-18744701.19366884,0.42946470588235297,17
PHO,-16401161.311563944,-16188111.483562049,-20032240.036234166,0.49294705882352946,17
POR,21397617.06385445,-13732917.189643439,-17550047.021843158,0.45299333333333336,15
SAC,4118853.9193983413,-14859249.665539393,-18718001.86265795,0.4552785714285714,14
SAS,-29020679.80127014,-16862985.415841725,-20702432.982144356,0.5953588235294118,17
TOR,-25626922.48367222,-16783427.885786053,-20677749.30655645,0.555425,16
UTA,77407711.8815351,-10577895.239715055,-14489450.80730742,0.36133529411764703,17
WAS,51206686.115459755,-12633925.678895466,-16498738.797969725,0.38497499999999996,20
